                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1705,                 2.8591,                 3.7372,                0.01395,                0.99052,                0.02289,                0.01406,                 2.1564,                 2.6032,                 3.0844,               0.067825,               0.000325,               0.000325
                      2,                 2.1375,                 1.9745,                 3.0052,                0.02239,                0.98578,                0.04856,                0.02342,                 2.1861,                 4.9379,                 3.0083,               0.034818,             0.00065182,             0.00065182
                      3,                 2.1058,                 1.8975,                 2.9502,                0.21587,                0.25908,                0.16602,                0.08668,                 2.1185,                 10.844,                 3.0251,              0.0018054,             0.00097203,             0.00097203
                      4,                 1.8647,                 1.8081,                 2.7439,                0.14747,                0.39652,                0.11941,                0.05299,                 2.1101,                 7.1747,                 3.4163,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.6584,                 1.6064,                 2.5463,                0.51037,                0.53712,                0.50573,                0.30995,                 1.7066,                 1.9158,                  2.767,              0.0009703,              0.0009703,              0.0009703
                      6,                 1.5615,                 1.4278,                 2.4375,                0.25478,                0.63981,                0.23613,                0.15827,                 1.5499,                 2.6103,                 2.6904,              0.0009604,              0.0009604,              0.0009604
                      7,                  1.434,                 1.2621,                 2.3377,                0.68599,                0.75829,                0.77221,                0.52712,                 1.4632,                 1.4794,                 2.4598,              0.0009505,              0.0009505,              0.0009505
                      8,                 1.3904,                 1.2075,                 2.2976,                0.67334,                0.75549,                0.74666,                0.46192,                 1.6593,                 1.4868,                 2.6238,              0.0009406,              0.0009406,              0.0009406
                      9,                 1.3598,                 1.1469,                 2.2724,                  0.779,                0.73776,                0.81575,                0.58869,                 1.4473,                 1.3802,                 2.3175,              0.0009307,              0.0009307,              0.0009307
                     10,                 1.3009,                  1.105,                 2.2003,                0.81914,                0.79937,                0.85878,                 0.5573,                 1.4406,                 1.2327,                 2.3512,              0.0009208,              0.0009208,              0.0009208
                     11,                 1.3635,                 1.1044,                 2.2759,                0.93401,                 0.8515,                0.91736,                0.65389,                 1.3932,                 1.1551,                 2.3285,              0.0009109,              0.0009109,              0.0009109
                     12,                 1.2722,                 1.0595,                  2.172,                  0.838,                0.78357,                0.85653,                0.59357,                 1.3596,                 1.3591,                 2.2674,               0.000901,               0.000901,               0.000901
