                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.48108,                0.32831,                 1.1787,                 0.9674,                0.96524,                0.98556,                0.91158,                0.49224,                0.33921,                 1.1881,              0.0006634,              0.0006634,              0.0006634
                     37,                0.47784,                0.32761,                 1.1718,                0.97395,                 0.9684,                0.98349,                0.91288,                0.47292,                0.32916,                  1.153,              0.0006535,              0.0006535,              0.0006535
                     38,                0.45892,                0.32406,                 1.1533,                0.96098,                0.97265,                0.98822,                0.93473,                0.44558,                0.30692,                 1.1309,              0.0006436,              0.0006436,              0.0006436
                     39,                 0.4806,                 0.3172,                 1.1655,                 0.9715,                 0.9692,                 0.9897,                0.93373,                0.48092,                0.31054,                 1.1605,              0.0006337,              0.0006337,              0.0006337
                     40,                0.47292,                0.31639,                 1.1573,                0.97224,                0.97472,                0.98885,                0.93466,                0.46554,                0.29959,                 1.1521,              0.0006238,              0.0006238,              0.0006238
                     41,                0.45631,                 0.3028,                 1.1454,                0.96092,                0.97119,                0.98606,                0.91184,                0.52071,                0.33309,                  1.186,              0.0006139,              0.0006139,              0.0006139
                     42,                  0.465,                0.30816,                 1.1426,                0.96843,                0.96924,                0.98941,                0.90866,                0.55658,                0.33028,                 1.2121,               0.000604,               0.000604,               0.000604
                     43,                0.45731,                0.30351,                 1.1337,                0.96396,                0.96367,                0.98768,                0.93979,                0.41511,                0.31064,                  1.103,              0.0005941,              0.0005941,              0.0005941
                     44,                0.42948,                0.29939,                 1.1101,                0.96569,                0.97831,                0.98974,                0.94563,                0.40878,                0.31971,                 1.1054,              0.0005842,              0.0005842,              0.0005842
                     45,                0.42837,                0.28912,                 1.1079,                0.97707,                0.97788,                0.99178,                0.94189,                0.42968,                0.29811,                 1.1078,              0.0005743,              0.0005743,              0.0005743
                     46,                0.41386,                0.29912,                 1.0879,                0.96977,                0.96305,                0.98446,                0.92851,                0.44342,                0.32094,                 1.1177,              0.0005644,              0.0005644,              0.0005644
                     47,                 0.4104,                0.29375,                 1.0856,                0.97287,                0.96308,                0.98897,                0.92638,                0.43867,                 0.3015,                 1.1036,              0.0005545,              0.0005545,              0.0005545
                     48,                0.42489,                0.29293,                 1.0964,                0.98073,                0.96486,                0.98798,                0.93084,                0.46042,                0.30144,                 1.1295,              0.0005446,              0.0005446,              0.0005446
                     49,                0.41536,                0.28606,                  1.086,                  0.975,                0.97788,                0.99217,                0.95253,                0.39673,                0.28267,                 1.0706,              0.0005347,              0.0005347,              0.0005347
                     50,                 0.4024,                0.27532,                 1.0702,                0.97816,                0.97314,                  0.992,                0.95098,                0.38453,                0.29805,                 1.0644,              0.0005248,              0.0005248,              0.0005248
                     51,                0.42944,                0.28409,                 1.0946,                0.96774,                0.96682,                0.98961,                0.93103,                0.45516,                0.32805,                 1.1201,              0.0005149,              0.0005149,              0.0005149
                     52,                 0.5894,                0.40158,                 1.2653,                0.82645,                0.85466,                0.90244,                0.71535,                0.83725,                0.80696,                 1.5342,               0.000505,               0.000505,               0.000505
                     53,                0.99263,                0.89099,                 1.7512,                0.45916,                0.61453,                0.49206,                0.24472,                  1.607,                 1.7085,                 2.3839,              0.0004951,              0.0004951,              0.0004951
                     54,                 1.3717,                 1.0812,                 2.2375,                0.61058,                0.75053,                0.70994,                0.37394,                 1.5445,                 1.2348,                 2.4757,              0.0004852,              0.0004852,              0.0004852
                     55,                  1.214,                0.81619,                 2.0961,                 0.8617,                0.91153,                0.92744,                0.66557,                 1.2679,                0.81726,                 2.1983,              0.0004753,              0.0004753,              0.0004753
                     56,                 1.0923,                0.72851,                  1.944,                0.93065,                0.93277,                 0.9376,                0.70859,                 1.0712,                0.82508,                 1.9328,              0.0004654,              0.0004654,              0.0004654
                     57,                 1.0208,                0.71434,                 1.8552,                0.94804,                0.94787,                0.94849,                0.75721,                 1.0059,                0.72171,                 1.8382,              0.0004555,              0.0004555,              0.0004555
                     58,                0.98507,                0.68627,                 1.8125,                0.96483,                0.95359,                0.95547,                0.77848,                0.98025,                0.69589,                 1.8007,              0.0004456,              0.0004456,              0.0004456
                     59,                0.92258,                0.65022,                 1.7323,                0.96802,                0.95635,                0.96441,                0.80591,                0.89215,                0.65456,                 1.7074,              0.0004357,              0.0004357,              0.0004357
                     60,                0.88021,                0.61931,                 1.6893,                 0.9715,                0.95103,                  0.966,                0.81468,                0.87052,                0.60246,                 1.6794,              0.0004258,              0.0004258,              0.0004258
                     61,                 0.8297,                0.58081,                 1.6409,                0.97591,                0.96013,                0.97077,                 0.8284,                0.83803,                0.57412,                  1.632,              0.0004159,              0.0004159,              0.0004159
                     62,                0.80073,                0.55501,                 1.6006,                 0.9713,                0.96051,                0.96227,                0.83732,                0.75922,                0.55691,                 1.5609,               0.000406,               0.000406,               0.000406
                     63,                0.75272,                0.50759,                 1.5385,                0.97498,                0.95735,                0.96708,                0.84393,                0.74233,                 0.5025,                 1.5338,              0.0003961,              0.0003961,              0.0003961
                     64,                0.71341,                0.48928,                 1.4969,                0.97292,                  0.965,                0.97272,                0.86075,                0.69485,                 0.4732,                 1.4814,              0.0003862,              0.0003862,              0.0003862
                     65,                0.68285,                0.47462,                 1.4503,                0.97293,                0.96051,                0.96706,                 0.8642,                 0.6694,                0.45712,                 1.4336,              0.0003763,              0.0003763,              0.0003763
