                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.473,                 1.4693,                 2.3111,                0.64813,                0.71248,                0.73899,                0.49925,                 1.4657,                 1.5755,                 2.3078,              0.0006733,              0.0006733,              0.0006733
                     36,                 1.4378,                 1.4949,                 2.2797,                0.62183,                0.57408,                0.65327,                0.46099,                  1.446,                 1.5884,                 2.2979,              0.0006634,              0.0006634,              0.0006634
                     37,                 1.4378,                 1.4388,                 2.2983,                0.58964,                0.74882,                0.69392,                0.50424,                 1.4287,                 1.4922,                 2.2698,              0.0006535,              0.0006535,              0.0006535
                     38,                 1.4208,                 1.3196,                  2.274,                0.69585,                0.75671,                0.79475,                0.55467,                 1.4908,                 1.4086,                 2.3343,              0.0006436,              0.0006436,              0.0006436
                     39,                 1.4699,                 1.3925,                 2.2935,                0.64874,                 0.4613,                0.60919,                0.43257,                 1.4709,                 1.5911,                 2.3173,              0.0006337,              0.0006337,              0.0006337
                     40,                  1.477,                 1.4036,                 2.3148,                0.76286,                0.63349,                0.74546,                0.52151,                 1.4607,                 1.4206,                 2.2951,              0.0006238,              0.0006238,              0.0006238
                     41,                 1.4368,                  1.386,                 2.2762,                0.48491,                0.66351,                0.56977,                0.37125,                 1.4734,                 1.6554,                  2.285,              0.0006139,              0.0006139,              0.0006139
                     42,                  1.422,                 1.3218,                 2.2564,                0.81164,                 0.6671,                0.80501,                0.53784,                   1.52,                 1.4305,                 2.3237,               0.000604,               0.000604,               0.000604
                     43,                 1.4056,                 1.3063,                  2.252,                0.83636,                0.63785,                0.79973,                0.57106,                 1.4507,                 1.4546,                 2.2908,              0.0005941,              0.0005941,              0.0005941
                     44,                 1.4069,                 1.3482,                 2.2542,                0.62083,                0.52509,                0.66422,                 0.4716,                 1.4487,                 1.4525,                 2.2777,              0.0005842,              0.0005842,              0.0005842
                     45,                 1.4106,                 1.3081,                 2.2387,                0.65053,                0.62401,                0.73324,                0.51892,                 1.4147,                 1.3953,                 2.2373,              0.0005743,              0.0005743,              0.0005743
                     46,                 1.3856,                 1.1791,                 2.2129,                0.77569,                0.79761,                0.85891,                0.61713,                 1.3962,                 1.2307,                  2.221,              0.0005644,              0.0005644,              0.0005644
                     47,                 1.3724,                 1.2318,                 2.2015,                 0.6324,                0.76935,                0.78394,                0.55782,                 1.3891,                 1.3051,                 2.2298,              0.0005545,              0.0005545,              0.0005545
                     48,                 1.4156,                  1.297,                 2.2483,                0.78387,                0.42812,                0.61732,                0.43354,                 1.4136,                 1.5955,                 2.2312,              0.0005446,              0.0005446,              0.0005446
                     49,                 1.3944,                 1.3743,                 2.2131,                0.77795,                0.69185,                0.81901,                0.58905,                 1.3856,                 1.3201,                 2.2145,              0.0005347,              0.0005347,              0.0005347
                     50,                 1.4039,                 1.4296,                 2.2443,                0.72966,                0.58294,                 0.7227,                0.50784,                 1.4301,                 1.3908,                 2.2412,              0.0005248,              0.0005248,              0.0005248
                     51,                 1.3639,                 1.3624,                 2.2156,                0.75448,                0.56872,                 0.7561,                0.55362,                 1.3852,                 1.3768,                 2.2019,              0.0005149,              0.0005149,              0.0005149
                     52,                 1.3679,                 1.3028,                 2.2152,                0.83772,                0.76659,                0.85995,                0.60101,                 1.4332,                 1.3305,                 2.2321,               0.000505,               0.000505,               0.000505
                     53,                 1.3697,                 1.2058,                 2.2092,                0.88705,                0.70719,                0.81729,                0.56454,                 1.3807,                 1.3157,                 2.2226,              0.0004951,              0.0004951,              0.0004951
                     54,                 1.3345,                 1.1675,                 2.2047,                0.89466,                  0.703,                0.79622,                0.56957,                 1.3194,                 1.2481,                   2.14,              0.0004852,              0.0004852,              0.0004852
                     55,                  1.355,                 1.2086,                 2.1864,                0.92062,                0.64126,                0.77614,                0.54994,                 1.3807,                 1.3308,                 2.1944,              0.0004753,              0.0004753,              0.0004753
                     56,                 1.3481,                 1.1779,                 2.1669,                0.83838,                0.80312,                0.88038,                 0.6225,                 1.3877,                 1.1195,                 2.1858,              0.0004654,              0.0004654,              0.0004654
                     57,                 1.3427,                 1.2249,                 2.1636,                0.90607,                0.68577,                0.83302,                0.60389,                 1.3338,                 1.2219,                  2.161,              0.0004555,              0.0004555,              0.0004555
                     58,                 1.3231,                 1.2452,                 2.1648,                0.87262,                0.68182,                0.79059,                0.56132,                 1.3691,                 1.2313,                 2.2035,              0.0004456,              0.0004456,              0.0004456
                     59,                 1.3601,                 1.2916,                 2.1956,                0.79159,                0.61769,                 0.7728,                0.55892,                 1.3354,                 1.2311,                 2.1584,              0.0004357,              0.0004357,              0.0004357
                     60,                 1.3344,                 1.2212,                 2.1791,                0.79405,                0.65561,                 0.7788,                0.55977,                 1.3222,                 1.2223,                 2.1348,              0.0004258,              0.0004258,              0.0004258
                     61,                 1.3295,                 1.2047,                 2.1668,                0.73625,                0.72763,                0.84185,                0.60702,                 1.3476,                 1.2589,                 2.1604,              0.0004159,              0.0004159,              0.0004159
                     62,                 1.3132,                 1.2244,                 2.1381,                0.90408,                0.75942,                0.87094,                0.59754,                 1.3971,                 1.2888,                 2.2054,               0.000406,               0.000406,               0.000406
                     63,                  1.338,                 1.1273,                 2.1579,                0.88328,                0.69036,                0.79754,                 0.5624,                 1.3919,                 1.2721,                 2.2389,              0.0003961,              0.0003961,              0.0003961
                     64,                 1.3347,                 1.1661,                 2.1631,                0.89351,                0.69984,                0.82047,                0.56915,                 1.3903,                 1.1984,                 2.2105,              0.0003862,              0.0003862,              0.0003862
                     65,                  1.325,                 1.1966,                 2.1478,                 0.8759,                0.66193,                 0.8065,                0.59788,                 1.2941,                 1.1895,                 2.1139,              0.0003763,              0.0003763,              0.0003763
                     66,                 1.2667,                 1.1826,                 2.0926,                0.87049,                0.66667,                0.74766,                0.56127,                 1.2971,                 1.4372,                 2.1327,              0.0003664,              0.0003664,              0.0003664
                     67,                 1.2825,                 1.1874,                 2.1164,                0.80406,                 0.8298,                0.88429,                0.62449,                 1.3539,                 1.1227,                 2.1542,              0.0003565,              0.0003565,              0.0003565
                     68,                 1.2877,                 1.0932,                 2.1129,                0.85695,                0.86414,                0.91038,                0.65032,                 1.3335,                 1.0797,                  2.152,              0.0003466,              0.0003466,              0.0003466
                     69,                 1.3087,                 1.0857,                 2.1395,                0.89748,                 0.7109,                0.84457,                0.61223,                 1.3132,                 1.1401,                 2.1118,              0.0003367,              0.0003367,              0.0003367
                     70,                 1.3088,                 1.1338,                 2.1453,                 0.8788,                0.84766,                0.91523,                0.67693,                 1.3179,                 1.0713,                 2.1175,              0.0003268,              0.0003268,              0.0003268
                     71,                 1.3184,                 1.1447,                  2.141,                0.87648,                0.68381,                0.81847,                0.61253,                  1.276,                 1.1562,                 2.1058,              0.0003169,              0.0003169,              0.0003169
                     72,                  1.308,                 1.1687,                 2.1512,                0.88533,                0.68088,                0.78632,                0.55803,                 1.3578,                 1.2263,                 2.1838,               0.000307,               0.000307,               0.000307
                     73,                 1.3067,                 1.1413,                 2.1427,                0.80942,                0.87227,                0.90059,                0.66912,                 1.2907,                 1.0414,                 2.1263,              0.0002971,              0.0002971,              0.0002971
                     74,                 1.2593,                 1.0494,                 2.0968,                0.78691,                0.76424,                0.86579,                0.64196,                 1.3002,                 1.0316,                 2.1021,              0.0002872,              0.0002872,              0.0002872
                     75,                 1.2723,                 1.0321,                  2.098,                 0.8709,                0.83254,                0.90102,                0.66943,                 1.2892,                 1.0527,                 2.0905,              0.0002773,              0.0002773,              0.0002773
                     76,                 1.2526,                 1.0262,                 2.0827,                0.88488,                 0.8436,                0.90806,                0.68228,                 1.2716,                 1.0248,                  2.081,              0.0002674,              0.0002674,              0.0002674
                     77,                 1.2741,                 1.0197,                 2.0961,                0.91863,                0.82306,                0.90935,                0.67953,                 1.2372,                 1.0121,                 2.0629,              0.0002575,              0.0002575,              0.0002575
                     78,                 1.2448,                0.98713,                 2.0796,                0.93394,                 0.6951,                0.86021,                0.64088,                 1.2486,                 1.0461,                 2.0629,              0.0002476,              0.0002476,              0.0002476
                     79,                 1.2551,                 1.0373,                 2.0862,                0.64067,                0.81043,                0.81955,                0.60054,                 1.3083,                 1.1858,                 2.1411,              0.0002377,              0.0002377,              0.0002377
                     80,                 1.3057,                 1.0182,                 2.1353,                 0.8675,                0.81833,                0.90913,                0.66758,                 1.3144,                 1.1044,                 2.1362,              0.0002278,              0.0002278,              0.0002278
                     81,                 1.3046,                 1.0412,                 2.1334,                0.91988,                0.85242,                0.92933,                 0.6584,                 1.3244,                 1.0454,                 2.1267,              0.0002179,              0.0002179,              0.0002179
                     82,                 1.2517,                0.97292,                 2.0919,                0.90565,                0.86439,                0.91507,                0.69112,                 1.2325,                  1.034,                 2.0495,               0.000208,               0.000208,               0.000208
                     83,                 1.2564,                 1.0196,                 2.0666,                0.91709,                0.74408,                 0.8831,                0.64812,                 1.2574,                 1.0487,                 2.0551,              0.0001981,              0.0001981,              0.0001981
                     84,                 1.2612,                 1.0411,                 2.0821,                0.86412,                0.83387,                0.89522,                0.65026,                 1.3149,                0.98052,                 2.1083,              0.0001882,              0.0001882,              0.0001882
                     85,                 1.2288,                0.96359,                 2.0457,                0.83594,                 0.7969,                0.89628,                 0.6818,                 1.2092,                0.98422,                  2.033,              0.0001783,              0.0001783,              0.0001783
                     86,                  1.261,                 1.0155,                 2.0899,                0.90279,                0.71248,                0.78311,                0.55588,                 1.2627,                  1.171,                  2.082,              0.0001684,              0.0001684,              0.0001684
                     87,                 1.2709,                 1.0481,                 2.0786,                0.91836,                0.93365,                0.93839,                0.69486,                 1.2696,                0.89933,                 2.0701,              0.0001585,              0.0001585,              0.0001585
                     88,                 1.2402,                 1.0339,                 2.0627,                0.93656,                0.69352,                0.83742,                0.62634,                 1.2722,                 1.0951,                 2.0633,              0.0001486,              0.0001486,              0.0001486
                     89,                 1.2283,                  1.019,                 2.0578,                0.88862,                 0.8949,                 0.9287,                0.68986,                 1.2613,                 0.9645,                 2.0682,              0.0001387,              0.0001387,              0.0001387
                     90,                 1.2327,                0.96483,                 2.0421,                0.90491,                0.81186,                0.91355,                0.66314,                 1.2754,                0.93548,                 2.0611,              0.0001288,              0.0001288,              0.0001288
                     91,                 1.2393,                  1.026,                 2.0518,                 0.9184,                0.76619,                0.90795,                0.66647,                 1.2625,                0.90886,                 2.0529,              0.0001189,              0.0001189,              0.0001189
                     92,                 1.2034,                 0.9329,                 2.0256,                0.92761,                0.90995,                0.93536,                 0.7113,                 1.1991,                0.88819,                 2.0038,               0.000109,               0.000109,               0.000109
                     93,                 1.2144,                0.93504,                 2.0256,                0.80699,                 0.8357,                0.90157,                0.67716,                 1.2044,                0.92891,                 2.0176,               9.91e-05,               9.91e-05,               9.91e-05
                     94,                 1.2052,                0.92882,                 2.0279,                0.91908,                0.85624,                0.92758,                0.69615,                 1.2221,                0.89435,                 2.0294,               8.92e-05,               8.92e-05,               8.92e-05
                     95,                 1.1896,                0.90683,                 2.0073,                0.92133,                0.88942,                0.92831,                0.69821,                 1.2079,                0.88682,                 2.0099,               7.93e-05,               7.93e-05,               7.93e-05
                     96,                 1.2146,                 0.9279,                 2.0353,                0.86158,                0.84565,                 0.9161,                0.67853,                 1.2361,                0.87649,                 2.0279,               6.94e-05,               6.94e-05,               6.94e-05
                     97,                 1.1936,                0.95344,                 2.0177,                0.92635,                0.89731,                 0.9357,                0.69126,                 1.2473,                0.87243,                 2.0299,               5.95e-05,               5.95e-05,               5.95e-05
                     98,                 1.2123,                0.93218,                 2.0348,                0.90163,                0.84518,                0.92108,                0.68885,                 1.1937,                0.86875,                 1.9843,               4.96e-05,               4.96e-05,               4.96e-05
                     99,                 1.2364,                 0.9453,                 2.0567,                0.90689,                 0.8617,                 0.9267,                0.70619,                  1.193,                0.88937,                 1.9994,               3.97e-05,               3.97e-05,               3.97e-05
                    100,                 1.1966,                0.89124,                  2.015,                 0.9068,                0.91153,                0.93136,                0.71096,                 1.1598,                0.82135,                 1.9654,               2.98e-05,               2.98e-05,               2.98e-05
